category,conditionName,targetProperty,hasVisual,mediaName,conditionVariables,uuid,elementalType,initializedSummary,appliedSummary,finishedSummary,canSwitch,canMove,immune
removal,clearConditions,conditionStack,0,,"{""eede9e62-e8e8-40d7-ac16-3e47b559f712"":{}}",eede9e62-e8e8-40d7-ac16-3e47b559f712,none, was cleared of conditions,,,,,
removal,removeCondition,condition,1,,"{""a28969ee-7fc7-4443-9e87-ad5085b24554"":{""conditions"":[<uuid>]},""minDuration"":<int>,""maxDuration"":<int>}",a28969ee-7fc7-4443-9e87-ad5085b24554,none,,,,,,
stat,poison,health,1,Poison,"{""e446f6c0-8e4f-428d-8f3e-28facf1c3dd1"":{""minStatDelta"":<int>,""maxStatDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",e446f6c0-8e4f-428d-8f3e-28facf1c3dd1,grass, was poisoned,ANIMATION, recovered from the poison,,,
stat,burn,health,1,Burn,"{""6f2f5cfa-5c73-47b5-8b05-dc38c009c5d8"":{""minStatDelta"":<int>,""maxStatDelta"":<int>}}",6f2f5cfa-5c73-47b5-8b05-dc38c009c5d8,fire, was burned,ANIMATION,'s burn was healed,,,
stat,hail,health,1,Hail,"{""cf98ead6-8852-490b-b74a-c156780589ba"":{""minStatDelta"":<int>,""maxStatDelta"":<int>}}",cf98ead6-8852-490b-b74a-c156780589ba,ice, was caught in a hailstorm,ANIMATION, escaped the hail,,,
stat,splinter,health,1,Splinter,"{""a759b2b0-3f1a-440c-85c7-0856de20ca08"":{""minStatDelta"":<int>,""maxStatDelta"":<int>}}",a759b2b0-3f1a-440c-85c7-0856de20ca08,rock, got a splinter,ANIMATION, dislodged the splinter,,,
stat,stutterPunch,health,1,Stutter_Punch,"{""510312fb-fe45-4d69-853a-14d733858ee2"":{""minStatDelta"":<int>,""maxStatDelta"":<int>}}",510312fb-fe45-4d69-853a-14d733858ee2,rock, started being punched,ANIMATION, stopped being punched,,,
stat,dogFight,health,0,Dog_Fight,"{""083f8fe2-1f2a-4eb2-8752-55c25076769a"":{""minStatDelta"":<int>,""maxStatDelta"":<int>}}",083f8fe2-1f2a-4eb2-8752-55c25076769a,air, was trapped in a dog fight,ANIMATION, escaped the dog fight,,0,
stat,hex,health,1,Hex,"{""aa0ad3b3-0800-4961-aae0-7213102642e6"":{""minStatDelta"":<int>,""maxStatDelta"":<int>}}",aa0ad3b3-0800-4961-aae0-7213102642e6,spirit, was hexed,ANIMATION, 's hex was cleansed,,,
stat,boostAttack,attack,0,,"{""2dae8f97-a2ec-4c03-ab72-8e00a4874b4b"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",2dae8f97-a2ec-4c03-ab72-8e00a4874b4b,none,FLOATTEXT,,'s attack boost wore off,,,
stat,boostAccuracy,accuracy,0,,"{""e070d763-0151-4d9b-a3c8-bc6190d465ff"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",e070d763-0151-4d9b-a3c8-bc6190d465ff,none,FLOATTEXT,,'s accuracy boost wore off,,,
stat,boostDefense,defense,0,,"{""8c101a5c-7eaa-46a1-92c6-1e9a19c6b350"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",8c101a5c-7eaa-46a1-92c6-1e9a19c6b350,none,FLOATTEXT,,'s defense boost wore off,,,
stat,boostSpeed,speed,0,,"{""5b1ab84c-31d1-4982-ab55-cdde42800477"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",5b1ab84c-31d1-4982-ab55-cdde42800477,none,FLOATTEXT,,'s speed boost wore off,,,
stat,boostCritRate,critRate,0,,"{""94989c90-1154-4be6-afb9-7438390b325b"":{""statDelta"":<float>},""minDuration"":<int>,""maxDuration"":<int>}",94989c90-1154-4be6-afb9-7438390b325b,none,FLOATTEXT,,'s crit boost wore off,,,
stat,reduceAttack,attack,0,,"{""7d2641c3-987c-4d74-a8ce-e450d097ea13"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",7d2641c3-987c-4d74-a8ce-e450d097ea13,none,FLOATTEXT,,'s attack reduction wore off,,,
