name,uuid,damageRate,elementalType,energyCost,hitRate,minHitCount,maxHitCount,mediaName,Defender,defenderDeferredConditions,defenderImmediateConditions,Attacker,attackerDeferredConditions,attackerImmediateConditions,summary
Amplify,C63345CD16B0467AA016F710A127DB48,0,0,20,1.0,1,1,Amplify,none,,,+Attack,"{""2dae8f97-a2ec-4c03-ab72-8e00a4874b4b"":{""statDelta"":2},""minDuration"":2,""maxDuration"":4}",,Raises the user's attack.
Cyclone,58CA22C005A345208DD3A09149D95F5A,20,0,20,0.8,1,1,Cyclone,Prevent Switch,"{""1439b7a3-3b40-46c8-8f45-756a50d7e365"":{},""minDuration"":3,""maxDuration"":5}",,none,,,Deals damage and prevents foe from switching.
Dive Bomb,D69F80A245AE4129AE0EB2E37DF4F98B,10,0,0,0.8,1,1,Dive_Bomb,none,,,+Speed,"{""5b1ab84c-31d1-4982-ab55-cdde42800477"":{""statDelta"":1},""minDuration"":1,""maxDuration"":2}","{""5b1ab84c-31d1-4982-ab55-cdde42800477"":{""statDelta"":1}}",Deals damage and briefly increases the user’s speed.
Dog Fight,5A61C478956B41738569C0C5016F5A32,0,0,30,0.6,1,1,Dog_Fight,"Prevent switch, DOT","{""1439b7a3-3b40-46c8-8f45-756a50d7e365"":{},""083f8fe2-1f2a-4eb2-8752-55c25076769a"":{""minStatDelta"":-10,""maxStatDelta"":-10},""minDuration"":10,""maxDuration"":10,""applicationOrder"":[""083f8fe2-1f2a-4eb2-8752-55c25076769a"",""1439b7a3-3b40-46c8-8f45-756a50d7e365""]}",,"Prevent switch, DOT","{""1439b7a3-3b40-46c8-8f45-756a50d7e365"":{},""083f8fe2-1f2a-4eb2-8752-55c25076769a"":{""minStatDelta"":-10,""maxStatDelta"":-10},""minDuration"":10,""maxDuration"":10,""applicationOrder"":[""083f8fe2-1f2a-4eb2-8752-55c25076769a"",""1439b7a3-3b40-46c8-8f45-756a50d7e365""]}",,Deals ongoing damage and prevents both parties from switching.
Implode,125B9F3821DD41779C7CB5F726E17737,60,0,30,1.0,1,1,Implode,none,,,dmg,,"{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":-50}}",A huge burst of air deals massive damage to both MegaBits.
Pulmonate,C04E0B079CF14F0A9FF772E422431C65,20,0,25,0.7,1,1,Pulmonate,-Defense,"{""83c78df4-cbdc-410c-83b4-9cdcb6429481"":{""statDelta"":-2},""minDuration"":1,""maxDuration"":3}",,none,,,Deals a large amount of damage and lowers the foe’s defense.
Soar,97D3258FAF52478F9660FE5E2981555C,0,0,25,1.0,1,1,Soar,none,,,"+Attack, +Speed","{""2dae8f97-a2ec-4c03-ab72-8e00a4874b4b"":{""statDelta"":2},""minDuration"":1,""maxDuration"":1}","{""b41fec5f-f957-4dc3-80dd-cf550aec6aca"":{}}",Causes brief immunity. Increases speed and attack.
Sonic Boom,718F0024303F474EBE8D302569D44108,0,0,30,0.8,1,1,Sonic_Boom,-Accuracy,"{""c720abce-e7b8-4f3e-8734-238f3d722aca"":{""statDelta"":-2},""minDuration"":3,""maxDuration"":4}",,none,,,"Disorients the foe, decreasing its accuracy for several turns."
Arc Tackle,8DC495FC08364D6E812C0E41FCEA8D9C,25,1,30,0.8,1,1,Arc_Tackle,none,,,none,,,An electrically charged tackle.
Delete,7797432A9602484A98F6667705EB1326,999,1,60,0.2,1,1,Delete,none,,,none,,,Knocks out the foe instantly.
Discharge,638e17c3-a8d4-4dec-9583-27d28f4df16c,0,1,20,1.0,1,1,Discharge,none,,,"+Crit, -Health","{""94989c90-1154-4be6-afb9-7438390b325b"":{""statDelta"":0.3},""minDuration"":2,""maxDuration"":4}","{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":-15}}",Boosts the user’s crit rate at the cost of health.
Electrocute,177E437EFB2149BBA484ABD600F87484,20,1,30,0.7,1,1,Electrocute,Chance of Paralysis,"{""edd7ada8-ffc9-4dc4-9168-0831f74f3c2f"":{""chance"":0.7},""minDuration"":0,""maxDuration"":3}",,-Health,,"{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":-10}}",Damages both parties. May paralyze the foe.
Spark,D47AEA9860714CF5AFCD94DFB8B194BC,20,1,0,0.8,1,1,Spark,none,,,-Health,,"{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":-10}}",Zaps both parties with an electrical shock.
Static Burst,72ba373c-3382-43ef-b9b1-216dc5c0574a,0,1,20,0.9,1,1,Static_Burst,"-Speed, -Accuracy","{""f58db3c4-57bb-4f84-a523-f3ca23b257df"":{""statDelta"":-1},""c720abce-e7b8-4f3e-8734-238f3d722aca"":{""statDelta"":-1},""minDuration"":1,""maxDuration"":3}",,none,,,"Disorients the foe, decreasing speed and accuracy."
Thunder Smash,45D00891B05D4C11ACF3CEA244D4E83E,40,1,30,0.8,1,1,Thunder_Smash,none,,,-Health,,"{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":-20}}",An electrically overcharged tackle that also hurts the user.
Overclock,7299057d-563d-4a66-8fbf-1703c3a7f72c,0,1,10,1.0,1,1,Overclock,none,,,"DOT, Energy Boost","{""5d48f4ee-c3d3-4159-9eb5-d976a273846d"":{""statDelta"":-10},""70c27303-3625-483f-a525-d3e5931354c5"":{""statDelta"":10},""minDuration"":3,""maxDuration"":3,""applicationOrder"":[""5d48f4ee-c3d3-4159-9eb5-d976a273846d"",""70c27303-3625-483f-a525-d3e5931354c5""]}",,"The user summons up extra energy, but overheats in the process, suffering ongoing damage."
Blaze,799A08DD54A04CAA9D7C70F404913860,0,2,0,1.0,1,1,Blaze,none,,,"-Health, +Energy",,"{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":-15},""70c27303-3625-483f-a525-d3e5931354c5"":{""statDelta"":25},""applicationOrder"":[""162560e7-5da7-4a97-9f1a-4a51138203f3"",""70c27303-3625-483f-a525-d3e5931354c5""]}",The user converts some health into energy.
Cinder Smash,79885DA3F6A84DFFA47F8F49184B0E79,20,2,40,0.7,1,1,Cinder_Smash,DOT(burn),"{""6f2f5cfa-5c73-47b5-8b05-dc38c009c5d8"":{""minStatDelta"":-5,""maxStatDelta"":-5},""minDuration"":1,""maxDuration"":3}",,none,,,"Bombards the foe with volcanic rock, potentially burning it."
Flametongue,DA1FF05AA8334D74BEC6D5C44BFF65FE,10,2,20,0.85,1,1,Flametongue,DOT(burn),"{""6f2f5cfa-5c73-47b5-8b05-dc38c009c5d8"":{""minStatDelta"":-8,""maxStatDelta"":-8},""minDuration"":3,""maxDuration"":5}",,none,,,Damages the foe and applies a nasty burn.
Immolate,8C8B2976ED0340719974789E1357056C,70,2,60,0.5,1,1,Immolate,none,,,none,,,Hits the foe with fire almost as hot as the surface of the sun.
Oxidize,8baa2978-92d4-4023-9d4a-899bddcc966e,0,2,20,0.8,1,1,Oxidize,-speed,"{""f58db3c4-57bb-4f84-a523-f3ca23b257df"":{""statDelta"":-1},""minDuration"":2,""maxDuration"":5}",,none,,,"A small, focused burst of heat that decreases the foe's defense."
Rain of Fire,7169331ECFBA48409A0FBA18C822EA0B,30,2,30,0.7,1,1,Rain_of_Fire,DOT(burn),"{""6f2f5cfa-5c73-47b5-8b05-dc38c009c5d8"":{""minStatDelta"":-10,""maxStatDelta"":-10},""minDuration"":1,""maxDuration"":3}",,-Health,,"{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":-20}}","Damages both parties, and applies a burn to the foe."
Scorch,03EA6722EDC146F984E9092FF3C5512D,10,2,0,0.9,1,1,Scorch,-Defense,"{""83c78df4-cbdc-410c-83b4-9cdcb6429481"":{""statDelta"":-0.5},""minDuration"":1,""maxDuration"":1}",,none,,,"Singes the foe, dealing damage and lowering defense."
Smolder,5DA31CFDBD364FC4B0E70EFE4638EF95,0,2,30,0.85,1,1,Smolder,DOT(burn),"{""6f2f5cfa-5c73-47b5-8b05-dc38c009c5d8"":{""minStatDelta"":-10,""maxStatDelta"":-5},""minDuration"":2,""maxDuration"":4}",,none,,,Scorching flames inflict a burn on the foe.
Bio Beam,9235CA8C81E44E96BC0E5380875D0072,40,3,20,0.8,1,1,Bio_Beam,none,,,-Health,,"{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":-40}}",Massively damages the foe at the cost of the user’s health.
Bloom,F1B293441FF54C908DFC4D2084B91B17,0,3,20,1.0,1,1,Bloom,none,,,"+Attack, +Health","{""2dae8f97-a2ec-4c03-ab72-8e00a4874b4b"":{""statDelta"":1},""minDuration"":1,""maxDuration"":3}","{""0d122d7d-0255-41e2-8e6e-a3a6f30307f3"":{""statDelta"":15}}",Slightly heals the user and raises its attack.
Ensnare,1FF4BB492D1246DBBB54D0310B59892A,0,3,40,0.8,1,1,Ensnare,Paralayze,"{""edd7ada8-ffc9-4dc4-9168-0831f74f3c2f"":{""chance"":0.7},""minDuration"":2,""maxDuration"":4}",,none,,,Prevents foe from using any moves.
Evergreen,D255E712A4584D6DABE8A61763E4836B,0,3,25,1.0,1,1,Evergreen,none,,,HOT,"{""0d122d7d-0255-41e2-8e6e-a3a6f30307f3"":{""statDelta"":10},""minDuration"":2,""maxDuration"":4}",,Restores a small amount of health every turn.
