uuid,battlePhrases,diurnalityType,outfitName,headName,name,possibleForenames,rarityType,region,tradePhrases,possibleMonsters
FC909D1C3DDC4AD9B86B9135F74C9D30,"{""Start"": ""Hmmm. MegaBit activity in this area seems to be strong. I wonder why."",""Loss"": ""That was an excellent battle. How long have you had those MegaBits?"",""Win"": ""Scientifically speaking, it would appear that I have beaten you.""}",0,Science_Boy_Outfit,Science_Boy_Hair,Scientist,"[""Neil"", ""Bill"", ""Carl"", ""Richard"", ""Linus""]",3,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""B237BD3D31A24E4DBD3B10878EAD1413"", ""A6FCC0D0A0ED49D6915702D7122DE209"", ""4ED54333086543328BDAE45BD7D27EE3"", ""B5FE991A786947DF93935EDE913689FE"", ""F09D3D915D8F4062A3EDE4F304E6C3C8"", ""F1FC328FF6014312BFA9B26C3F1BF030""]"
5D3D6C8E4E51457692586419FAAE527C,"{""Start"": ""I LOVE pixels! That's why I like MegaBits so much."",""Loss"": ""That battle gave me an idea for a website design..."",""Win"": ""I beat you before it was cool.""}",0,Dress_Scarves,Long_Hair_Sunglasses,Hipster,"[""Eva"", ""Emily"", ""Hannah"", ""Tara"", ""Jessica""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}","{""Start"":""I have almost as many MegaBits as I have scarves!"",""Accept"":""It's no scarf, but I'll trade!"",""Reject"":""I won't even take that trade ironically.""}","[""4055AD7F8A424A84AC8485598B45C5BC"", ""0D39040278D24631AD80FEBFB9DE5C36"", ""665FF55E29AB4B24845193A3C969ED1D"", ""69185A1F7EE843659535C314A0BC2BFB"", ""8159A470079B43EEB2BF87F8AF5CF7F2"", ""3C9B9F5E481E4403B6EFB5B8F300937E"", ""D8BD5F286112484CB3A26C3CB0D74B70""]"
101BE97B2DE9450BBA687CED2FBF4743,"{""Start"": ""I've read three different books on MegaBits and I think I'm ready to battle!"",""Loss"": ""Better hit the books!"",""Win"": ""Boy, I really schooled you!""}",1,Student_Outfit,Student_Hair,Student,"[""Barry"", ""Jerry"", ""Larry"", ""Harry"", ""Todd""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}","{""Start"":""We talked about barter in my cultural anthropology class."",""Accept"":""That trade is Dean's List quality!"",""Reject"":""You flunked out of this trade.""}","[""292EE98CCB364FD481EC56277209D0A5"",""69185A1F7EE843659535C314A0BC2BFB"",""B5FE991A786947DF93935EDE913689FE"",""8159A470079B43EEB2BF87F8AF5CF7F2"",""A8759BDCD6584969947724A106E2915A"",""EEC8E9A478BE448EABF14E84CEED0E92"",""BC3D68C3CCAC4F1493FB11B35047DD4F"",""0078A3E6F5274766B35A8A74F57F0367""]"
95F85A549EDE45AAAE3EAC3110EE166B,"{""Start"": ""::huff huff huff:: A battle? Sure! I can use a break."",""Loss"": ""I guess we have more training to do! ::huff huff huff huff huff::"",""Win"": ""Talk about keeping my heart rate up!""}",1,Running_Shorts,Flattop_Sweatband,Jogger,"[""Steve"", ""Jason"", ""Gary"", ""Biff"", ""Chris""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""C40F10E7C41F448FB0B3981A0A37B92E"", ""8145B120CD8F4596A990B3A781033697""]"
6941FC15A34B4D119224459BA594EF46,"{""Start"": ""Whatcha gonna do when my MegaBits come for you?"",""Loss"": ""You have the right to remain silent about that battle."",""Win"": ""One step closer to my quota!""}",0,Police_Officer_Outfit,Police_Officer_Hat,Officer,"[""Thomas"", ""Briggs"", ""McCloud"", ""Jeff"", ""Ward""]",2,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""B237BD3D31A24E4DBD3B10878EAD1413"",""A6FCC0D0A0ED49D6915702D7122DE209"",""4ED54333086543328BDAE45BD7D27EE3"",""F09D3D915D8F4062A3EDE4F304E6C3C8"",""9D3DDD49220A4D01A4A5CB258C7FEDDA"",""37769561B0C04662972190491B18BCC9"",""8145B120CD8F4596A990B3A781033697"",""BC3D68C3CCAC4F1493FB11B35047DD4F"",""0078A3E6F5274766B35A8A74F57F0367""]"
5193845CAD5E4D2E8A7E3A219AC0D1E5,"{""Start"": ""I battle fire, how hard can it be to battle a few MegaBits?"",""Loss"": ""Well, now I just feel put out."",""Win"": ""Now I'M on fire!""}",0,Firefighter_Outfit,Firefighter_Hat,Firefighter,"[""Sam"", ""Roberts"", ""Barrett"", ""Gavin"", ""Nelson""]",2,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""EEC8E9A478BE448EABF14E84CEED0E92"",""BC3D68C3CCAC4F1493FB11B35047DD4F"",""0078A3E6F5274766B35A8A74F57F0367""]"
DFBFA28FD8ED4FF68844F168AC7AE008,"{""Start"": ""Yo, we gonna battle or what?"",""Loss"": ""That was just luck, man."",""Win"": ""Aw yeah, MegaBits!""}",0,Red_Hoodie,Vagrant_Hair,Vagrant,"[""Charlie"", ""Chester"", ""Oliver"", ""Rusty"", ""Patches""]",2,"{{0, 0}, {18446744073709551615, 18446744073709551615}}","{""Start"":""Yo, you holding? Let's trade."",""Accept"":""Sick trade!"",""Reject"":""Uh, no way, man.""}","[""292EE98CCB364FD481EC56277209D0A5"",""3C9B9F5E481E4403B6EFB5B8F300937E"",""EEC8E9A478BE448EABF14E84CEED0E92"",""024A88F341494012B9EC283AC9929515""]"
665246B0815E4DF6AD9541ABEF3F10EC,"{""Start"": ""Mummy and Daddy said my MegaBits will keep me safe!"",""Loss"": ""Nooooo!"",""Win"": ""Nanny-nanny-boo-boo!""}",1,Asian_Girl_Outfit,Asian_Girl_Hair,Little Kid,"[""Li"", ""Angela"", ""Christina"", ""Cho"", ""Yua""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""B5FE991A786947DF93935EDE913689FE""]"
CC64F9D6A30E4FB0B6181BD23B239F1C,"{""Start"": ""Huh? Fight? I guess."",""Loss"": ""Everything's meaningless anyway."",""Win"": ""Whatever.""}",2,Cross_Chain,Goth_Hair,Goth Kid,"[""Spirit"", ""Colleen"", ""Raven"", ""Nykki"", ""Zandra""]",1,"{{39.830000, -98.580000}, {28.265710, 64.589962}}","{""Start"":""I guess we can trade. Whatever."",""Accept"":""Possessions are meaningless in this black void. Except the ones you just gave me."",""Reject"":""Instead of that, I'll trade you my nothing for your nothing.""}","[""8E3EB0AA3EB04662A87C3A439F0CBC44"",""8159A470079B43EEB2BF87F8AF5CF7F2"",""D221E02E2CB84081AFCDD5DA7F6C4B0C"",""024A88F341494012B9EC283AC9929515""]"
E70E8E553C0045B9AEDC235552C069AA,"{""Start"": ""MegaBits are exciting, but so are plants. I'm torn!"",""Loss"": ""Maybe I should stick to plants and leaf MegaBits alone."",""Win"": ""Consider yourself weed-whacked!""}",1,Gardener_Outfit,Wide_Brim_Hat,Gardener,"[""Susan"", ""Mildred"", ""Betsy"", ""Meredith"", ""Sandra""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""4055AD7F8A424A84AC8485598B45C5BC"",""0D39040278D24631AD80FEBFB9DE5C36"",""665FF55E29AB4B24845193A3C969ED1D"",""292EE98CCB364FD481EC56277209D0A5"",""69185A1F7EE843659535C314A0BC2BFB"",""A8759BDCD6584969947724A106E2915A""]"
